Gender,Age,-3,-2,-1,+0,+1,+2,+3
F,53,11.7,12.7,13.9,15.3,16.8,18.6,20.8
F,54,11.7,12.7,13.9,15.3,16.8,18.7,20.8
F,55,11.7,12.7,13.9,15.3,16.8,18.7,20.9
F,56,11.7,12.7,13.9,15.3,16.8,18.7,20.9
F,57,11.7,12.7,13.9,15.3,16.9,18.7,21
F,58,11.7,12.7,13.9,15.3,16.9,18.8,21
F,59,11.6,12.7,13.9,15.3,16.9,18.8,21
F,60,11.6,12.7,13.9,15.3,16.9,18.8,21.1
M,0,10.2,11.1,12.2,13.4,14.8,16.3,18.1
M,1,11.3,12.4,13.6,14.9,16.3,17.8,19.4
M,2,12.5,13.7,15,16.3,17.8,19.4,21.1
M,3,13.1,14.3,15.5,16.9,18.4,20,21.8
M,4,13.4,14.5,15.8,17.2,18.7,20.3,22.1
M,5,13.5,14.7,15.9,17.3,18.8,20.5,22.3
M,6,13.6,14.7,16,17.3,18.8,20.5,22.3
M,7,13.7,14.8,16,17.3,18.8,20.5,22.3
M,8,13.6,14.7,15.9,17.3,18.7,20.4,22.2
M,9,13.6,14.7,15.8,17.2,18.6,20.3,22.1
M,10,13.5,14.6,15.7,17,18.5,20.1,22
M,11,13.4,14.5,15.6,16.9,18.4,20,21.8
M,12,13.4,14.4,15.5,16.8,18.2,19.8,21.6
M,13,13.3,14.3,15.4,16.7,18.1,19.7,21.5
M,14,13.2,14.2,15.3,16.6,18,19.5,21.3
M,15,13.1,14.1,15.2,16.4,17.8,19.4,21.2
M,16,13.1,14,15.1,16.3,17.7,19.3,21
M,17,13,13.9,15,16.2,17.6,19.1,20.9
M,18,12.9,13.9,14.9,16.1,17.5,19,20.8
M,19,12.9,13.8,14.9,16.1,17.4,18.9,20.7
M,20,12.8,13.7,14.8,16,17.3,18.8,20.6
M,21,12.8,13.7,14.7,15.9,17.2,18.7,20.5
M,22,12.7,13.6,14.7,15.8,17.2,18.7,20.4
M,23,12.7,13.6,14.6,15.8,17.1,18.6,20.3
M,24,12.9,13.8,14.8,16,17.3,18.9,20.6
M,25,12.8,13.8,14.8,16,17.3,18.8,20.5
M,26,12.8,13.7,14.8,15.9,17.3,18.8,20.5
M,27,12.7,13.7,14.7,15.9,17.2,18.7,20.4
M,28,12.7,13.6,14.7,15.9,17.2,18.7,20.4
M,29,12.7,13.6,14.7,15.8,17.1,18.6,20.3
M,30,12.6,13.6,14.6,15.8,17.1,18.6,20.2
M,31,12.6,13.5,14.6,15.8,17.1,18.5,20.2
M,32,12.5,13.5,14.6,15.7,17,18.5,20.1
M,33,12.5,13.5,14.5,15.7,17,18.5,20.1
M,34,12.5,13.4,14.5,15.7,17,18.4,20
M,35,12.4,13.4,14.5,15.6,16.9,18.4,20
M,36,12.4,13.4,14.4,15.6,16.9,18.4,20
M,37,12.4,13.3,14.4,15.6,16.9,18.3,19.9
M,38,12.3,13.3,14.4,15.5,16.8,18.3,19.9
M,39,12.3,13.3,14.3,15.5,16.8,18.3,19.9
M,40,12.3,13.2,14.3,15.5,16.8,18.2,19.9
M,41,12.2,13.2,14.3,15.5,16.8,18.2,19.9
M,42,12.2,13.2,14.3,15.4,16.8,18.2,19.8
M,43,12.2,13.2,14.2,15.4,16.7,18.2,19.8
M,44,12.2,13.1,14.2,15.4,16.7,18.2,19.8
M,45,12.2,13.1,14.2,15.4,16.7,18.2,19.8
M,46,12.1,13.1,14.2,15.4,16.7,18.2,19.8
M,47,12.1,13.1,14.2,15.3,16.7,18.2,19.9
M,48,12.1,13.1,14.1,15.3,16.7,18.2,19.9
M,49,12.1,13,14.1,15.3,16.7,18.2,19.9
M,50,12.1,13,14.1,15.3,16.7,18.2,19.9
M,51,12.1,13,14.1,15.3,16.6,18.2,19.9
M,52,12,13,14.1,15.3,16.6,18.2,19.9
M,53,12,13,14.1,15.3,16.6,18.2,20
M,54,12,13,14,15.3,16.6,18.2,20
M,55,12,13,14,15.2,16.6,18.2,20
M,56,12,12.9,14,15.2,16.6,18.2,20.1
M,57,12,12.9,14,15.2,16.6,18.2,20.1
M,58,12,12.9,14,15.2,16.6,18.3,20.2
M,59,12,12.9,14,15.2,16.6,18.3,20.2
M,60,12,12.9,14,15.2,16.6,18.3,20.3
